Dataset	Classifier	Train	Test
landsatImg	AdaBoostClassifier	0.22048480449343927	0.22219527143982884
landsatImg	BaggingClassifier	0.9983256726051379	0.9687251835903561
landsatImg	StackingClassifier	0.88715128042784	0.8804918717348306
landsatImg	VotingClassifier	0.8752784943359835	0.868547374281859
landsatImg	DecisionTreeClassifier	1.0	0.9468796486919118
landsatImg	ExtraTreeClassifier	1.0	0.9083072643633775
landsatImg	KNeighborsClassifier	0.8888889115291047	0.8281763096037233
landsatImg	LinearDiscriminantAnalysis	0.8459829464395853	0.844856865751727
landsatImg	LogisticRegression	0.35378892945350193	0.35397347677814917
landsatImg	MLPClassifier	0.8058255319955372	0.8067087990911969
landsatImg	Perceptron	0.07318135481431083	0.07273359361143727
landsatImg	RandomForestClassifier	1.0	0.9828933076797007
sat.all	AdaBoostClassifier	0.5403511300875525	0.5281391574819121
sat.all	BaggingClassifier	0.9944056062894318	0.8999261033779934
sat.all	StackingClassifier	0.9297073336554819	0.8902920124030409
sat.all	VotingClassifier	0.9225934747288372	0.8870210001642148
sat.all	DecisionTreeClassifier	1.0	0.8602952966973524
sat.all	ExtraTreeClassifier	1.0	0.832635018305111
sat.all	KNeighborsClassifier	0.9402745085248496	0.909868579929098
sat.all	LinearDiscriminantAnalysis	0.8450142200079949	0.8400937472832124
sat.all	LogisticRegression	0.8171630899204423	0.8060597644967785
sat.all	MLPClassifier	0.8038679876661347	0.7950211547192412
sat.all	Perceptron	0.6245539432497178	0.6208125247529535
sat.all	RandomForestClassifier	0.9999827318252461	0.9181005670237532
ulc	AdaBoostClassifier	0.42322899505766065	0.41470588235294115
ulc	BaggingClassifier	0.9897950446544698	0.8237928007023705
ulc	StackingClassifier	0.9316892287349348	0.8400351185250221
ulc	VotingClassifier	0.9111102380126594	0.8414837576821773
ulc	DecisionTreeClassifier	1.0	0.8133669885864793
ulc	ExtraTreeClassifier	1.0	0.708187006145742
ulc	KNeighborsClassifier	0.6322669188415849	0.44769534679543455
ulc	LinearDiscriminantAnalysis	0.9254286612329835	0.8028972783143107
ulc	LogisticRegression	0.8785208748807769	0.7632572431957858
ulc	MLPClassifier	0.6385323636521287	0.5246049165935032
ulc	Perceptron	0.41249864519205753	0.3658691834942932
ulc	RandomForestClassifier	1.0	0.860513608428446
